domain,ip,reverse_ip_domain_count,reverse_ip_domains,status,http_code,response_time_ms,final_url,page_title,meta_description,meta_keywords,content_language,server,technologies,ssl_issuer,ssl_expiry,whois_registrar,whois_created,whois_expires,whois_country,ip_country,ip_city,ip_isp,screenshot_path,discovery_source,scan_timestamp
example.com,104.20.23.154,0,,UP,200,245,https://example.com/,Example Domain,,,en,cloudflare,Cloudflare,SSL Corporation,Oct 27 22:17:21 2026 GMT,RESERVED-Internet Assigned Numbers Authority,1995-08-14 04:00:00+00:00,2026-08-13 04:00:00+00:00,,Canada,Toronto,"Cloudflare, Inc.",,file,2026-08-07 18:01:13
google.com,142.250.118.100,0,,REDIRECT,200,876,https://www.google.com/,Google,,,en-IN,gws,,Google Trust Services,Oct 12 18:05:55 2026 GMT,"MarkMonitor, Inc.",1997-09-15 04:00:00+00:00,2028-09-14 04:00:00+00:00,US,United States,Mountain View,Google LLC,,file,2026-08-07 18:01:13
