url,domain,confidence_score,matched_signals,checked_at
https://slotsheaven.com,slotsheaven.com,1.0,strong:deposit bonus|strong:free spins|strong:live dealer|strong:play now|medium:casino|medium:slots|medium:poker|medium:jackpot|medium:wager|medium:betting|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:52:26Z
https://umbingo.com,umbingo.com,1.0,strong:free spins|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:33Z
https://777tigers.com,777tigers.com,0.9,strong:live dealer|strong:play now|medium:casino|medium:slots|medium:jackpot|medium:betting,2026-08-09T05:52:35Z
https://amigoslots.com,amigoslots.com,0.95,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:40Z
https://bingo.games,bingo.games,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:41Z
https://bjsarcade.co.uk,bjsarcade.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:41Z
https://bingocrazy.com,bingocrazy.com,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:41Z
https://bgtgames.com,bgtgames.com,1.0,strong:free spins|strong:claim bonus|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:42Z
https://casinogame.co.uk,casinogame.co.uk,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:43Z
https://carltonbingo.com,carltonbingo.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:44Z
https://crazykingcasino.com,crazykingcasino.com,1.0,strong:free spins|strong:claim bonus|medium:casino|medium:slots|medium:wager|structural:18+|structural:gambleaware,2026-08-09T05:52:45Z
https://dazzlebingo.com,dazzlebingo.com,1.0,strong:free spins|strong:play now|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|structural:responsible gambling,2026-08-09T05:52:46Z
https://daisyslots.com,daisyslots.com,1.0,strong:free spins|strong:live dealer|strong:claim bonus|strong:ukgc|medium:casino|medium:slots|medium:jackpot|medium:wager|structural:18+|structural:gambleaware|negative:how to play,2026-08-09T05:52:47Z
